,longitude,latitude,heat_flow,geometry
6749,-97.6166,20.4833,57.0,POINT (-97.61660000000001 20.4833)
6750,-97.9499,21.8166,57.0,POINT (-97.9499 21.8166)
6751,-97.5749,25.5055,57.0,POINT (-97.5749 25.5055)
6752,-97.5416,25.9166,56.0,POINT (-97.5416 25.9166)
6753,-98.0833,22.4499,56.0,POINT (-98.08329999999999 22.4499)
6754,-97.7166,20.7833,56.0,POINT (-97.7166 20.7833)
6755,-97.8499,21.2833,56.0,POINT (-97.84990000000001 21.2833)
6756,-97.4166,20.7666,56.0,POINT (-97.4166 20.7666)
6757,-97.9333,23.3499,56.0,POINT (-97.9333 23.3499)
6758,-99.1999,24.0499,56.0,POINT (-99.1999 24.0499)
6759,-98.3499,24.4166,56.0,POINT (-98.34990000000001 24.4166)
6760,-97.3499,20.4499,56.0,POINT (-97.34990000000001 20.4499)
6761,-98.2166,23.9333,56.0,POINT (-98.2166 23.9333)
6762,-97.6666,21.5499,56.0,POINT (-97.6666 21.5499)
6763,-97.6166,21.4333,56.0,POINT (-97.61660000000001 21.4333)
6765,-98.0999,22.3499,56.0,POINT (-98.09990000000001 22.3499)
6766,-98.0166,22.7833,56.0,POINT (-98.0166 22.7833)
6768,-97.75,21.0499,55.0,POINT (-97.75 21.0499)
6769,-97.8666,21.3833,55.0,POINT (-97.86660000000001 21.3833)
6770,-97.7833,21.5,55.0,POINT (-97.7833 21.5)
6771,-98.5999,25.7555,55.0,POINT (-98.59990000000001 25.7555)
6774,-98.1666,23.9833,55.0,POINT (-98.1666 23.9833)
6775,-99.0,21.8499,55.0,POINT (-99 21.8499)
6776,-98.6166,22.6499,55.0,POINT (-98.61660000000001 22.6499)
6777,-98.0999,24.2999,55.0,POINT (-98.09990000000001 24.2999)
6778,-99.5983,18.5333,55.0,POINT (-99.59829999999999 18.5333)
6779,-98.8333,23.0499,55.0,POINT (-98.83329999999999 23.0499)
6780,-98.0499,22.7166,55.0,POINT (-98.04989999999999 22.7166)
6781,-98.0,25.9833,55.0,POINT (-98 25.9833)
6782,-97.8499,21.2833,55.0,POINT (-97.84990000000001 21.2833)
6783,-97.8999,22.9499,55.0,POINT (-97.8999 22.9499)
6784,-97.75,20.6166,55.0,POINT (-97.75 20.6166)
6785,-99.0333,23.0333,55.0,POINT (-99.0333 23.0333)
6786,-98.0166,22.7833,55.0,POINT (-98.0166 22.7833)
6787,-98.3999,22.7666,55.0,POINT (-98.3999 22.7666)
6788,-92.6686,18.0522,55.0,POINT (-92.6686 18.0522)
6789,-97.9499,22.1166,54.0,POINT (-97.9499 22.1166)
6790,-98.2222,25.4861,54.0,POINT (-98.2222 25.4861)
